Date,Open,High,Low,Close,Volume
2023-01-01,200,205,195,202,2000
2023-01-02,202,206,198,204,2100
2023-01-03,204,208,200,206,2200
2023-01-04,206,210,202,208,2300
2023-01-05,208,212,204,210,2400
2023-01-06,210,214,206,212,2500
2023-01-07,212,216,208,214,2600
2023-01-08,214,218,210,216,2700
2023-01-09,216,220,212,218,2800
2023-01-10,218,222,214,220,2900
2023-01-11,220,224,216,222,3000
2023-01-12,222,226,218,224,3100
2023-01-13,224,228,220,226,3200
2023-01-14,226,230,222,228,3300
2023-01-15,228,232,224,230,3400
2023-01-16,230,234,226,232,3500
2023-01-17,232,236,228,234,3600
2023-01-18,234,238,230,236,3700
2023-01-19,236,240,232,238,3800
2023-01-20,238,242,234,240,3900
